archivo,startX,endX,startY,endY,clase
airplanes_0315,32,351,31,156,avion
airplanes_0316,43,347,27,98,avion
airplanes_0317,37,348,30,105,avion
airplanes_0318,44,350,36,153,avion
airplanes_0319,51,349,27,113,avion
airplanes_0320,75,358,42,153,avion
airplanes_0321,54,350,28,123,avion
airplanes_0322,71,355,41,146,avion
airplanes_0323,64,350,55,126,avion
airplanes_0324,63,354,43,150,avion
airplanes_0325,65,352,33,136,avion
airplanes_0326,44,351,30,147,avion
airplanes_0327,50,350,27,116,avion
airplanes_0328,58,347,28,117,avion
airplanes_0329,51,354,27,121,avion
airplanes_0330,69,358,40,128,avion
airplanes_0331,71,347,41,146,avion
airplanes_0332,66,355,39,157,avion
airplanes_0333,49,350,27,128,avion
airplanes_0334,52,348,32,121,avion
airplanes_0335,53,350,30,112,avion
airplanes_0336,55,351,31,119,avion
airplanes_0337,57,348,29,118,avion
airplanes_0338,56,346,30,134,avion
airplanes_0339,48,344,26,106,avion
airplanes_0340,58,353,31,117,avion
airplanes_0341,67,351,55,119,avion
airplanes_0342,54,349,33,127,avion
airplanes_0343,60,349,27,105,avion
airplanes_0344,54,349,29,147,avion
airplanes_0345,64,355,36,106,avion
airplanes_0346,52,345,20,116,avion
airplanes_0347,56,353,33,138,avion
airplanes_0348,52,353,26,112,avion
airplanes_0349,52,344,31,114,avion
airplanes_0350,55,348,30,118,avion
airplanes_0351,62,347,37,127,avion
airplanes_0352,63,344,66,147,avion
airplanes_0353,61,350,34,142,avion
airplanes_0354,57,348,36,142,avion
airplanes_0355,60,355,48,136,avion
airplanes_0356,53,350,33,116,avion
airplanes_0357,53,341,28,102,avion
airplanes_0358,74,356,37,140,avion
airplanes_0359,49,346,33,127,avion
airplanes_0360,57,344,31,112,avion
airplanes_0361,53,351,35,143,avion
airplanes_0362,61,359,34,121,avion
airplanes_0363,58,342,33,120,avion
airplanes_0364,64,350,29,134,avion
airplanes_0365,66,345,31,109,avion
airplanes_0366,54,352,32,146,avion
airplanes_0367,56,349,31,112,avion
airplanes_0368,62,339,86,162,avion
airplanes_0369,55,343,27,135,avion
airplanes_0370,51,348,27,90,avion
airplanes_0371,55,350,28,131,avion
airplanes_0372,52,354,32,122,avion
airplanes_0373,62,350,27,106,avion
airplanes_0374,53,351,27,114,avion
airplanes_0375,61,350,27,113,avion
airplanes_0376,42,347,27,135,avion
airplanes_0377,68,350,80,157,avion
airplanes_0378,58,347,27,128,avion
airplanes_0379,65,359,39,150,avion
airplanes_0380,56,348,31,117,avion
airplanes_0381,49,352,31,119,avion
airplanes_0382,59,353,26,116,avion
airplanes_0383,57,352,30,142,avion
airplanes_0384,56,353,31,120,avion
airplanes_0385,60,346,31,136,avion
airplanes_0386,72,342,47,165,avion
airplanes_0387,58,345,33,132,avion
airplanes_0388,50,347,31,108,avion
airplanes_0389,54,351,30,125,avion
airplanes_0390,51,351,28,110,avion
airplanes_0391,59,360,33,114,avion
airplanes_0392,64,355,35,141,avion
airplanes_0393,39,348,31,142,avion
airplanes_0394,54,347,30,127,avion
airplanes_0395,35,349,27,133,avion
airplanes_0396,60,361,33,131,avion
airplanes_0397,52,348,27,118,avion
airplanes_0398,54,352,30,130,avion
airplanes_0399,56,351,27,121,avion
airplanes_0400,58,351,29,97,avion
airplanes_0401,53,348,24,93,avion
airplanes_0402,55,349,26,132,avion
airplanes_0403,49,346,27,122,avion
airplanes_0404,58,354,31,118,avion
airplanes_0405,54,354,32,146,avion
airplanes_0406,56,354,29,141,avion
airplanes_0407,72,348,72,163,avion
airplanes_0408,70,347,86,167,avion
airplanes_0409,65,352,82,160,avion
airplanes_0410,50,345,26,115,avion
airplanes_0411,57,355,27,91,avion
airplanes_0412,54,359,26,124,avion
airplanes_0413,55,354,31,102,avion
airplanes_0414,61,356,33,123,avion
airplanes_0415,51,351,36,135,avion
airplanes_0416,52,351,31,127,avion
airplanes_0417,28,356,33,134,avion
airplanes_0418,70,358,41,146,avion
airplanes_0419,71,350,33,124,avion
airplanes_0420,51,342,30,134,avion
airplanes_0421,57,350,29,139,avion
airplanes_0422,54,349,23,102,avion
airplanes_0423,64,358,31,142,avion
airplanes_0424,54,347,27,100,avion
airplanes_0425,71,351,29,87,avion
airplanes_0426,56,351,28,130,avion
airplanes_0427,52,351,31,102,avion
airplanes_0428,50,350,32,116,avion
airplanes_0429,57,356,26,96,avion
airplanes_0430,57,352,28,84,avion
airplanes_0431,49,354,34,148,avion
airplanes_0432,86,369,50,120,avion
airplanes_0433,44,351,24,85,avion
airplanes_0434,57,353,30,112,avion
airplanes_0435,48,353,29,100,avion
airplanes_0436,51,348,27,104,avion
airplanes_0437,50,355,27,115,avion
airplanes_0438,52,350,29,121,avion
airplanes_0439,54,361,32,115,avion
airplanes_0440,57,356,29,116,avion
airplanes_0441,54,355,31,101,avion
airplanes_0442,53,346,30,91,avion
airplanes_0443,50,347,31,122,avion
airplanes_0444,46,344,30,96,avion
airplanes_0445,49,356,30,127,avion
airplanes_0446,57,351,29,105,avion
airplanes_0447,57,354,26,130,avion
airplanes_0448,55,351,31,96,avion
airplanes_0449,72,324,73,226,avion
airplanes_0450,64,364,43,139,avion
airplanes_0451,56,351,24,96,avion
airplanes_0452,52,349,30,143,avion
airplanes_0453,55,346,26,114,avion
airplanes_0454,53,350,32,125,avion
airplanes_0455,56,352,27,117,avion
airplanes_0456,60,359,32,141,avion
airplanes_0457,42,352,22,107,avion
airplanes_0458,56,354,28,132,avion
airplanes_0459,57,346,25,114,avion
airplanes_0460,56,352,17,123,avion
airplanes_0461,47,353,28,102,avion
airplanes_0462,57,354,30,113,avion
airplanes_0463,61,353,30,119,avion
airplanes_0464,31,353,34,142,avion
airplanes_0465,50,350,27,125,avion
airplanes_0466,55,348,31,138,avion
airplanes_0467,46,351,27,127,avion
airplanes_0468,60,361,36,150,avion
airplanes_0469,42,348,26,114,avion
airplanes_0470,48,346,28,137,avion
airplanes_0471,48,345,25,103,avion
airplanes_0472,48,350,31,127,avion
airplanes_0473,62,353,67,127,avion
airplanes_0474,51,345,28,123,avion
airplanes_0475,59,328,72,164,avion
airplanes_0476,78,354,76,147,avion
airplanes_0477,26,350,32,141,avion
airplanes_0478,76,340,28,138,avion
airplanes_0479,64,364,39,120,avion
airplanes_0480,50,351,27,122,avion
airplanes_0481,50,349,27,133,avion
airplanes_0482,56,349,26,136,avion
airplanes_0483,48,346,28,144,avion
airplanes_0484,70,354,75,139,avion
airplanes_0485,57,350,26,130,avion
airplanes_0486,57,342,55,118,avion
airplanes_0487,53,347,27,117,avion
airplanes_0488,58,358,35,146,avion
airplanes_0489,56,352,30,129,avion
airplanes_0490,59,347,27,129,avion
airplanes_0491,59,346,32,132,avion
airplanes_0492,56,348,26,107,avion
airplanes_0493,48,349,22,83,avion
airplanes_0494,59,354,30,129,avion
airplanes_0495,55,352,31,140,avion
airplanes_0496,40,346,24,127,avion
airplanes_0497,53,350,26,115,avion
airplanes_0498,53,349,27,114,avion
airplanes_0499,49,349,25,136,avion
airplanes_0500,53,350,25,112,avion
airplanes_0501,54,350,25,129,avion
airplanes_0502,50,349,24,121,avion
airplanes_0503,64,353,29,123,avion
airplanes_0504,57,348,29,114,avion
airplanes_0505,55,347,25,112,avion
airplanes_0506,62,349,25,114,avion
airplanes_0507,54,348,21,105,avion
airplanes_0508,54,349,28,133,avion
airplanes_0509,53,348,29,126,avion
airplanes_0510,57,352,30,125,avion
airplanes_0511,63,350,27,137,avion
airplanes_0512,56,356,29,148,avion
airplanes_0513,52,346,27,124,avion
airplanes_0514,48,348,26,92,avion
airplanes_0515,55,349,23,108,avion
airplanes_0516,50,348,25,112,avion
airplanes_0517,49,348,25,117,avion
airplanes_0518,54,344,29,112,avion
airplanes_0519,48,346,27,116,avion
airplanes_0520,56,348,25,109,avion
airplanes_0521,51,349,28,132,avion
airplanes_0522,49,345,26,121,avion
airplanes_0523,57,350,27,122,avion
airplanes_0524,35,348,30,138,avion
airplanes_0525,56,353,26,115,avion
airplanes_0526,46,352,29,113,avion
airplanes_0527,62,350,29,115,avion
airplanes_0528,55,344,25,121,avion
airplanes_0529,63,357,29,128,avion
airplanes_0530,48,345,24,128,avion
airplanes_0531,48,348,29,130,avion
airplanes_0532,52,347,25,122,avion
airplanes_0533,51,344,29,125,avion
airplanes_0534,47,346,23,100,avion
airplanes_0535,44,344,25,134,avion
airplanes_0536,51,349,26,117,avion
airplanes_0537,59,352,33,131,avion
airplanes_0538,50,344,24,121,avion
airplanes_0539,50,346,29,126,avion
airplanes_0540,55,334,38,158,avion
airplanes_0541,51,350,26,123,avion
airplanes_0542,48,346,25,112,avion
airplanes_0543,43,345,29,120,avion
airplanes_0544,48,345,23,103,avion
airplanes_0545,34,349,27,127,avion
airplanes_0546,50,347,25,110,avion
airplanes_0547,46,350,25,120,avion
airplanes_0548,49,345,27,107,avion
airplanes_0549,53,347,26,117,avion
airplanes_0550,49,346,23,107,avion
airplanes_0551,48,345,24,101,avion
airplanes_0552,53,350,26,101,avion
airplanes_0553,56,343,39,190,avion
airplanes_0554,74,354,41,143,avion
airplanes_0555,66,361,39,156,avion
airplanes_0556,51,349,25,122,avion
airplanes_0557,54,352,32,127,avion
airplanes_0558,51,348,32,126,avion
airplanes_0559,51,347,27,119,avion
airplanes_0560,53,351,28,134,avion
airplanes_0561,56,351,26,116,avion
airplanes_0562,58,354,35,155,avion
airplanes_0563,52,346,31,112,avion
airplanes_0564,64,356,37,168,avion
airplanes_0565,56,353,33,105,avion
airplanes_0566,51,346,29,107,avion
airplanes_0567,52,346,32,117,avion
airplanes_0568,62,353,34,160,avion
airplanes_0569,61,351,33,171,avion
airplanes_0570,66,357,38,173,avion
airplanes_0571,49,347,28,109,avion
airplanes_0572,53,344,26,112,avion
airplanes_0573,51,350,27,113,avion
airplanes_0574,49,346,28,124,avion
airplanes_0575,49,347,27,113,avion
airplanes_0576,52,348,26,109,avion
airplanes_0577,55,353,25,118,avion
airplanes_0578,67,359,36,157,avion
airplanes_0579,51,347,29,86,avion
airplanes_0580,51,352,31,119,avion
airplanes_0581,51,348,27,95,avion
airplanes_0582,53,350,30,110,avion
airplanes_0583,56,352,27,114,avion
airplanes_0584,60,351,30,99,avion
airplanes_0585,54,348,28,116,avion
airplanes_0586,51,345,28,124,avion
airplanes_0587,58,352,27,107,avion
airplanes_0588,49,347,27,115,avion
airplanes_0589,54,345,28,128,avion
airplanes_0590,56,352,31,121,avion
airplanes_0591,55,350,28,111,avion
airplanes_0592,51,344,28,117,avion
airplanes_0593,54,349,28,122,avion
airplanes_0594,49,348,28,118,avion
airplanes_0595,57,350,29,131,avion
airplanes_0596,54,345,26,104,avion
airplanes_0597,60,350,34,136,avion
airplanes_0598,52,347,28,114,avion
airplanes_0599,52,345,26,93,avion
airplanes_0600,58,349,33,118,avion
airplanes_0601,56,352,27,103,avion
airplanes_0602,60,358,33,129,avion
airplanes_0603,48,348,28,112,avion
airplanes_0604,54,351,31,118,avion
airplanes_0605,57,347,26,110,avion
airplanes_0606,57,351,32,102,avion
airplanes_0607,52,348,31,119,avion
airplanes_0608,49,349,33,107,avion
airplanes_0609,48,345,27,108,avion
airplanes_0610,49,347,25,112,avion
airplanes_0611,56,352,29,113,avion
airplanes_0612,53,350,32,104,avion
airplanes_0613,54,346,26,119,avion
airplanes_0614,63,344,70,134,avion
airplanes_0615,58,353,28,124,avion
airplanes_0616,49,347,26,115,avion
airplanes_0617,54,347,28,131,avion
airplanes_0618,74,339,68,136,avion
airplanes_0619,71,342,58,133,avion
airplanes_0620,55,349,29,122,avion
airplanes_0621,58,327,74,157,avion
airplanes_0622,67,352,60,118,avion
airplanes_0623,64,343,45,118,avion
airplanes_0624,54,346,25,123,avion
airplanes_0625,52,345,28,112,avion
airplanes_0626,65,339,68,128,avion
airplanes_0627,70,334,36,128,avion
airplanes_0628,60,346,31,117,avion
airplanes_0629,58,344,31,114,avion
airplanes_0630,54,348,34,137,avion
airplanes_0631,50,347,27,105,avion
airplanes_0632,56,339,38,100,avion
airplanes_0633,57,347,34,134,avion
airplanes_0634,51,343,33,124,avion
airplanes_0635,55,349,29,111,avion
airplanes_0636,52,346,25,93,avion
airplanes_0637,52,349,27,120,avion
airplanes_0638,55,351,30,141,avion
airplanes_0639,53,349,29,140,avion
airplanes_0640,50,347,28,128,avion
airplanes_0641,56,349,28,133,avion
airplanes_0642,50,348,29,121,avion
airplanes_0643,48,344,25,98,avion
airplanes_0644,50,349,30,140,avion
airplanes_0645,58,349,31,99,avion
airplanes_0646,61,348,33,151,avion
airplanes_0647,56,353,37,156,avion
airplanes_0648,59,355,36,133,avion
airplanes_0649,51,352,26,98,avion
airplanes_0650,29,348,32,140,avion
airplanes_0651,63,354,29,112,avion
airplanes_0652,55,348,33,132,avion
airplanes_0653,55,347,31,109,avion
airplanes_0654,47,345,25,89,avion
airplanes_0655,51,351,33,150,avion
airplanes_0656,62,360,38,178,avion
airplanes_0657,52,352,26,139,avion
airplanes_0658,41,353,26,109,avion
airplanes_0659,55,353,32,130,avion
airplanes_0660,49,345,28,109,avion
airplanes_0661,49,346,28,117,avion
airplanes_0662,48,347,24,108,avion
airplanes_0663,52,350,26,129,avion
airplanes_0664,53,345,25,130,avion
airplanes_0665,51,347,28,122,avion
airplanes_0666,51,349,25,132,avion
airplanes_0667,51,348,30,125,avion
airplanes_0668,53,347,30,121,avion
airplanes_0669,53,348,32,120,avion
airplanes_0670,48,346,32,125,avion
airplanes_0671,48,344,28,116,avion
airplanes_0672,51,345,26,114,avion
airplanes_0673,56,353,32,134,avion
airplanes_0674,50,345,28,117,avion
airplanes_0675,56,344,30,116,avion
airplanes_0676,57,346,36,120,avion
airplanes_0677,53,343,29,132,avion
airplanes_0678,56,352,35,138,avion
airplanes_0679,49,344,24,113,avion
airplanes_0680,50,346,25,114,avion
airplanes_0681,48,348,24,111,avion
airplanes_0682,60,356,30,139,avion
airplanes_0683,52,348,26,107,avion
airplanes_0684,56,355,32,125,avion
airplanes_0685,54,350,27,121,avion
airplanes_0686,55,351,29,131,avion
airplanes_0687,57,349,29,126,avion
airplanes_0688,53,344,26,109,avion
airplanes_0689,54,348,25,119,avion
airplanes_0690,54,350,31,148,avion
airplanes_0691,56,352,26,117,avion
airplanes_0692,57,344,24,105,avion
airplanes_0693,59,344,27,106,avion
airplanes_0694,51,347,27,122,avion
airplanes_0695,54,346,24,115,avion
airplanes_0696,58,347,27,118,avion
airplanes_0697,56,352,31,116,avion
airplanes_0698,50,349,30,127,avion
airplanes_0699,49,346,28,116,avion
airplanes_0700,49,348,26,120,avion
airplanes_0701,51,348,27,122,avion
airplanes_0702,67,358,39,129,avion
airplanes_0703,59,354,37,134,avion
airplanes_0704,53,349,29,135,avion
airplanes_0705,52,350,27,112,avion
airplanes_0706,60,349,34,131,avion
airplanes_0707,60,357,33,136,avion
airplanes_0708,52,352,30,125,avion
airplanes_0709,51,345,30,118,avion
airplanes_0710,52,348,36,142,avion
airplanes_0711,57,352,34,109,avion
airplanes_0712,50,347,27,119,avion
airplanes_0713,54,351,32,151,avion
airplanes_0714,53,349,28,113,avion
airplanes_0715,51,348,28,138,avion
airplanes_0716,48,346,22,86,avion
airplanes_0717,24,349,28,124,avion
airplanes_0718,47,346,28,111,avion
airplanes_0719,55,344,27,117,avion
airplanes_0720,50,352,31,118,avion
airplanes_0721,49,347,22,111,avion
airplanes_0722,56,346,30,134,avion
airplanes_0723,54,348,31,143,avion
airplanes_0724,49,350,27,120,avion
airplanes_0725,48,343,26,123,avion
airplanes_0726,56,352,32,123,avion
airplanes_0727,53,348,33,111,avion
airplanes_0728,54,345,30,130,avion
airplanes_0729,54,351,31,134,avion
airplanes_0730,52,350,28,121,avion
airplanes_0731,50,346,27,105,avion
airplanes_0732,50,350,29,112,avion
airplanes_0733,42,356,33,147,avion
airplanes_0734,48,346,23,87,avion
